# hostname;interval;timestamp;CPU;%usr;%nice;%sys;%iowait;%steal;%irq;%soft;%guest;%gnice;%idle
profrouter;600;2020-05-02 04:45:01 UTC;1;0.01;0.00;0.02;0.00;0.00;0.00;0.01;0.00;0.00;99.96
profrouter;600;2020-05-02 04:45:01 UTC;2;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 04:45:01 UTC;3;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 04:55:01 UTC;-1;0.01;0.00;0.01;0.01;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 04:55:01 UTC;0;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 04:55:01 UTC;1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.99
profrouter;600;2020-05-02 04:55:01 UTC;2;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 04:55:01 UTC;3;0.01;0.00;0.01;0.02;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 05:05:01 UTC;-1;0.03;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 05:05:01 UTC;0;0.07;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.91
profrouter;600;2020-05-02 05:05:01 UTC;1;0.01;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.97
profrouter;600;2020-05-02 05:05:01 UTC;2;0.01;0.00;0.02;0.00;0.00;0.00;0.01;0.00;0.00;99.96
profrouter;600;2020-05-02 05:05:01 UTC;3;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.98
profrouter;600;2020-05-02 05:15:01 UTC;-1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 05:15:01 UTC;0;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 05:15:01 UTC;1;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.95
profrouter;600;2020-05-02 05:15:01 UTC;2;0.01;0.00;0.03;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 05:15:01 UTC;3;0.02;0.00;0.02;0.00;0.00;0.00;0.00;0.00;0.00;99.96
profrouter;600;2020-05-02 05:25:01 UTC;-1;0.01;0.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;99.97
